,ret,std,SR
Low,0.18085281493114946,0.22152818295788831,0.8163873892538942
2,0.22915303730370842,0.22818271182809105,1.0042524057490754
3,0.3315527344440431,0.2200431020093909,1.506762681567238
4,0.10383046331798974,0.2149230735344652,0.4831052413799556
5,0.2466981569670484,0.2406938223023504,1.024945944217694
6,0.23033922241170673,0.2504281334171913,0.9197817324620705
7,0.2714493886122042,0.21452517810259217,1.2653497879040996
8,0.1191384691141386,0.21682842821379156,0.5494596354158356
9,0.2885005899520628,0.2067866391617892,1.3951606889183052
High,0.3480238201214934,0.21881123671171512,1.5905207856396173
H-L,0.16717100519034397,0.17341230006104963,0.9640089263073702
Turnover,,,7.01693371491479
