,0,1,2,3,4,5,6,7,8,9,H-L
2022-01-05,0.013768479501788831,0.014653841655899356,0.012949184311774477,0.010715746586558213,0.008931113137410301,0.008909204575682604,0.007944733975277316,0.007523753472045824,0.009614391409775953,-0.0006936172103767044,-0.014462096712165536
2022-01-12,0.03438488637997099,0.048036184779313124,0.053974120470638626,0.045866137430946835,0.05055575539878863,0.05087571353679743,0.051037230209773535,0.05796063576737604,0.06574140844811482,0.07538527833583747,0.04100039195586648
2022-01-19,-0.018047243041194087,-0.027268921160026115,-0.023798667013441348,-0.025146940134150135,-0.030189592768669924,-0.02951767251966166,-0.03155997546119175,-0.030648358068301247,-0.035102155371914884,-0.042159818761452,-0.024112575720257913
2022-01-26,-0.011782168871788548,-0.009107884170424005,-0.006498744603908603,0.022684919494749954,-0.0025808203003410734,0.005670922150616157,0.0016705035567114038,-0.0019424694067052889,-0.0008335617156073729,6.322109102981565e-05,0.011845389962818365
2022-02-02,0.02387436858378361,0.024414740761319755,0.029988710571238003,0.032641117825727615,0.03599689714524202,0.030571286801722376,0.03461562203954578,0.03811137357001285,0.02842683574146998,0.029868547589762356,0.005994179005978744
2022-02-09,0.049689239102409334,0.06444643779291638,0.0672432464466245,0.0682777339526913,0.07544340223355689,0.0760769011743608,0.0738143138355952,0.07728174626906642,0.0786823980819817,0.07670642311515533,0.02701718401274599
2022-02-16,-0.009159155276525423,-0.014585156150265812,-0.012761773344833346,-0.022115675437897435,-0.01903661894997572,-0.0261581708932629,-0.028378069576380848,-0.03066591981993718,-0.027617059728542167,-0.03710518948232078,-0.027946034205795355
2022-02-23,0.014391220138946703,0.010765987995145424,0.013168579069602282,0.010852847565937792,0.0064522020463181505,0.010226753062948263,0.004475381654038244,0.0008287270297576681,0.003911386294374611,0.010204969859896966,-0.004186250279049737
2022-03-02,-0.020715670212598195,-0.031051968735389804,-0.029896769003692387,-0.028089204737536306,-0.029441783380094684,-0.030539714413018844,-0.025961969262991415,-0.027876127013132572,-0.024966883645254893,-0.02583798077455345,-0.005122310561955255
2022-03-09,-0.008494804483459295,-0.002669777540714071,-0.004562924046952109,0.0005164082091064566,-0.005402411321069169,-0.006631507436554664,-0.015823012875137238,-0.007960566065591321,-0.014027620322416862,-0.010272856196703423,-0.001778051713244128
2022-03-16,-0.003344037397983266,-0.0025754689639134612,0.00245005282535882,-0.0022436889419913224,-0.002251055993256693,-0.0011489863600734514,0.002125472303483092,-0.00042236798647983845,0.0018051807345538977,-0.0015345511216488911,0.0018094862763343748
2022-03-23,0.00519745284900072,-0.001687132217275144,-0.003342902095379699,-0.0045975683796392,-0.011787037088544687,-0.008227975289558213,-0.018230415944121482,-0.019424185638901307,-0.016817447778126965,-0.017461864755895333,-0.022659317604896055
2022-03-30,-0.0056284585340264075,-0.004061216060358469,-0.0029923121965140303,-0.002434166990967414,-0.0025413608908957095,-0.003008219498332453,-0.005532440662000137,-0.003498375918936688,-0.003884497541867486,-0.0034257944943620693,0.0022026640396643382
2022-04-06,0.020988823184767344,0.02281400776222024,0.02336900428980492,0.022513591346509505,0.02164759669774595,0.02185778058261037,0.02045354195854888,0.019466133035784094,0.028008151223552817,0.011621749626572996,-0.009367073558194348
